Restaurant Name,Region,Adjusted Rating (up to 5 stars)
ゴーゴーカレー金沢駅総本山,Chubu,3.3562453531598515
ゴーゴーカレー秋葉原1号店,Kanto,3.2632835820895525
ゴーゴーカレーヨドバシ横浜スタジアム,Kanto,3.2331958762886597
ゴーゴーカレー藤井寺フィールド,Kinki,3.2057142857142855
ゴーゴーカレー神田駅南口パーク,Kanto,3.1997368421052634
ゴーゴーカレープレナ幕張スタジアム,Kanto,3.170747663551402
ゴーゴーカレー上野御徒町店,Kanto,3.151720430107527
ゴーゴーカレー宇治大久保店,Kinki,3.147027027027027
ゴーゴーカレー秋葉原中央通店,Kanto,3.1424175824175826
ゴーゴーカレー高田馬場駅前スタジアム,Kanto,3.1413953488372095
ゴーゴーカレー盛岡インターパーク,Tohoku,4.2595744680851055
ゴーゴーカレー松任徳光スタジアム,Chubu,4.131386861313868
ゴーゴーカレー通天閣フィールド,Kinki,4.114893617021277
ゴーゴーカレー対馬パーク,Kyushu,4.092727272727273
ゴーゴーカレー金沢本店,Chubu,4.088955223880596
ゴーゴーカレープレナ幕張スタジアム,Kanto,4.061052631578947
ゴーゴーカレー金沢駅総本山,Chubu,3.9958904109589044
ゴーゴーカレー輪島店,Chubu,3.982524272
ゴーゴーカレー亀有スタジアム,Kanto,3.9806451612903224
ゴーゴーカレーペリエ千葉パーク,Kanto,3.947058823529412
